gene_id	go_id	evidence	qualifier	go_term
36	GO:0006550	IMP	involved_in	isoleucine catabolic process
36	GO:0006631	IDA	involved_in	fatty acid metabolic process
37	GO:0030855	IEP	involved_in	epithelial cell differentiation
37	GO:0033539	IDA	involved_in	fatty acid beta-oxidation using acyl-CoA dehydrogenase
37	GO:0033539	IMP	involved_in	fatty acid beta-oxidation using acyl-CoA dehydrogenase
38	GO:0006085	IDA	involved_in	acetyl-CoA biosynthetic process
38	GO:0006550	IMP	involved_in	isoleucine catabolic process
38	GO:0015936	IDA	involved_in	coenzyme A metabolic process
38	GO:0015937	IDA	involved_in	coenzyme A biosynthetic process
38	GO:0046356	IDA	involved_in	acetyl-CoA catabolic process
38	GO:0046952	IMP	involved_in	ketone body catabolic process
38	GO:1902860	IDA	involved_in	propionyl-CoA biosynthetic process
40	GO:0050915	IMP	involved_in	sensory perception of sour taste
41	GO:0035725	IDA	involved_in	sodium ion transmembrane transport
41	GO:0050915	IMP	involved_in	sensory perception of sour taste
41	GO:0071467	IDA	involved_in	cellular response to pH
43	GO:0002076	IEP	involved_in	osteoblast development
43	GO:0006581	IDA	involved_in	acetylcholine catabolic process
43	GO:0007155	IDA	involved_in	cell adhesion
47	GO:0006085	IDA	involved_in	acetyl-CoA biosynthetic process
47	GO:0006101	IDA	involved_in	citrate metabolic process
47	GO:0006107	IDA	involved_in	oxaloacetate metabolic process
47	GO:0008610	IDA	involved_in	lipid biosynthetic process
48	GO:0006101	IDA	involved_in	citrate metabolic process
48	GO:0006101	IMP	involved_in	citrate metabolic process
48	GO:0010040	IDA	involved_in	response to iron(II) ion
49	GO:0007190	IDA	involved_in	activation of adenylate cyclase activity
49	GO:0007340	IMP	involved_in	acrosome reaction
50	GO:0006099	IDA	acts_upstream_of_or_within	tricarboxylic acid cycle
50	GO:0006101	IDA	acts_upstream_of_or_within	citrate metabolic process
51	GO:0000038	IMP	involved_in	very long-chain fatty acid metabolic process
51	GO:0006091	IMP	involved_in	generation of precursor metabolites and energy
51	GO:0006629	IDA	involved_in	lipid metabolic process
51	GO:0006693	IMP	involved_in	prostaglandin metabolic process
51	GO:0009062	IMP	involved_in	fatty acid catabolic process
51	GO:0019395	IMP	involved_in	fatty acid oxidation
51	GO:0033540	IMP	involved_in	fatty acid beta-oxidation using acyl-CoA oxidase
51	GO:0050665	IMP	involved_in	hydrogen peroxide biosynthetic process
51	GO:0140493	IMP	involved_in	very long-chain fatty acid beta-oxidation
55	GO:0016311	IMP	involved_in	dephosphorylation
55	GO:0046085	IDA	involved_in	adenosine metabolic process
55	GO:0051930	IMP	involved_in	regulation of sensory perception of pain
55	GO:0060168	IMP	involved_in	positive regulation of adenosine receptor signaling pathway
58	GO:0030240	IMP	involved_in	skeletal muscle thin filament assembly
59	GO:0009615	IEP	involved_in	response to virus
59	GO:0072144	IEP	involved_in	glomerular mesangial cell development
60	GO:0001738	IMP	involved_in	morphogenesis of a polarized epithelium
60	GO:0007163	IMP	involved_in	establishment or maintenance of cell polarity
60	GO:0022898	IGI	involved_in	regulation of transmembrane transporter activity
60	GO:0034333	IMP	involved_in	adherens junction assembly
60	GO:0043967	IDA	involved_in	histone H4 acetylation
60	GO:0043968	IDA	involved_in	histone H2A acetylation
60	GO:0045176	IMP	involved_in	apical protein localization
60	GO:0048870	IMP	involved_in	cell motility
60	GO:0051621	IGI	involved_in	regulation of norepinephrine uptake
60	GO:0051726	IMP	involved_in	regulation of cell cycle
60	GO:0071896	IMP	involved_in	protein localization to adherens junction
60	GO:0072749	IMP	involved_in	cellular response to cytochalasin B
60	GO:0098974	IDA	involved_in	postsynaptic actin cytoskeleton organization
60	GO:0150111	IMP	involved_in	regulation of transepithelial transport
60	GO:1903076	IMP	involved_in	regulation of protein localization to plasma membrane
60	GO:1905168	IDA	involved_in	positive regulation of double-strand break repair via homologous recombination
70	GO:0030048	IDA	involved_in	actin filament-based movement
70	GO:0033275	IMP	involved_in	actin-myosin filament sliding
70	GO:0060047	IMP	involved_in	heart contraction
71	GO:0001525	IMP	acts_upstream_of_or_within_positive_effect	angiogenesis
71	GO:0001738	IMP	involved_in	morphogenesis of a polarized epithelium
71	GO:0010628	IMP	involved_in	positive regulation of gene expression
71	GO:0030335	IMP	involved_in	positive regulation of cell migration
71	GO:0051492	IMP	involved_in	regulation of stress fiber assembly
71	GO:0051893	IMP	involved_in	regulation of focal adhesion assembly
71	GO:0090303	IMP	involved_in	positive regulation of wound healing
71	GO:0120192	IMP	involved_in	tight junction assembly
71	GO:0150111	IMP	involved_in	regulation of transepithelial transport
71	GO:1902396	IMP	involved_in	protein localization to bicellular tight junction
81	GO:0030050	IMP	involved_in	vesicle transport along actin filament
81	GO:0030335	IMP	involved_in	positive regulation of cell migration
81	GO:0033209	IDA	involved_in	tumor necrosis factor-mediated signaling pathway
81	GO:0035357	IDA	involved_in	peroxisome proliferator activated receptor signaling pathway
81	GO:0048384	IDA	involved_in	retinoic acid receptor signaling pathway
81	GO:0051272	IDA	involved_in	positive regulation of cellular component movement
81	GO:0051272	IMP	involved_in	positive regulation of cellular component movement
81	GO:1900025	IMP	involved_in	negative regulation of substrate adhesion-dependent cell spreading
81	GO:1901224	IMP	involved_in	positive regulation of NIK/NF-kappaB signaling
81	GO:1903506	IMP	involved_in	regulation of nucleic acid-templated transcription
86	GO:0003407	IEP	involved_in	neural retina development
86	GO:0006275	IMP	involved_in	regulation of DNA replication
86	GO:0006338	IDA	involved_in	chromatin remodeling
86	GO:0033044	IMP	involved_in	regulation of chromosome organization
86	GO:0043967	IDA	involved_in	histone H4 acetylation
86	GO:0043968	IDA	involved_in	histone H2A acetylation
86	GO:0045893	IMP	involved_in	positive regulation of transcription, DNA-templated
86	GO:0051726	IMP	involved_in	regulation of cell cycle
86	GO:0060382	IMP	involved_in	regulation of DNA strand elongation
86	GO:1905168	IDA	involved_in	positive regulation of double-strand break repair via homologous recombination
87	GO:0007015	IMP	involved_in	actin filament organization
87	GO:0030168	IMP	NOT involved_in	platelet activation
87	GO:0030220	IMP	involved_in	platelet formation
87	GO:0036344	IMP	involved_in	platelet morphogenesis
87	GO:0048041	IMP	involved_in	focal adhesion assembly
87	GO:0051271	IMP	involved_in	negative regulation of cellular component movement
87	GO:0051639	IMP	involved_in	actin filament network formation
87	GO:0070527	IMP	NOT involved_in	platelet aggregation
88	GO:0030035	IDA	involved_in	microspike assembly
88	GO:0042391	IMP	involved_in	regulation of membrane potential
88	GO:0043267	IMP	involved_in	negative regulation of potassium ion transport
88	GO:0043268	IDA	involved_in	positive regulation of potassium ion transport
88	GO:0045214	IMP	involved_in	sarcomere organization
88	GO:0048041	IMP	involved_in	focal adhesion assembly
88	GO:0051695	IMP	involved_in	actin filament uncapping
88	GO:0072659	IMP	involved_in	protein localization to plasma membrane
88	GO:0086097	IMP	involved_in	phospholipase C-activating angiotensin-activated signaling pathway
88	GO:1901017	IMP	involved_in	negative regulation of potassium ion transmembrane transporter activity
88	GO:1901018	IDA	involved_in	positive regulation of potassium ion transmembrane transporter activity
88	GO:2000009	IMP	involved_in	negative regulation of protein localization to cell surface
88	GO:2001137	IMP	involved_in	positive regulation of endocytic recycling
88	GO:2001259	IMP	involved_in	positive regulation of cation channel activity
89	GO:0048041	IMP	involved_in	focal adhesion assembly
90	GO:0003143	IMP	involved_in	embryonic heart tube morphogenesis
90	GO:0003183	IMP	involved_in	mitral valve morphogenesis
90	GO:0003289	IMP	involved_in	atrial septum primum morphogenesis
90	GO:0006468	IDA	involved_in	protein phosphorylation
90	GO:0007179	IDA	involved_in	transforming growth factor beta receptor signaling pathway
90	GO:0009968	IMP	involved_in	negative regulation of signal transduction
90	GO:0010862	IDA	involved_in	positive regulation of pathway-restricted SMAD protein phosphorylation
90	GO:0018107	IDA	involved_in	peptidyl-threonine phosphorylation
90	GO:0030278	IMP	involved_in	regulation of ossification
90	GO:0030335	IGI	involved_in	positive regulation of cell migration
90	GO:0030501	IMP	involved_in	positive regulation of bone mineralization
90	GO:0030509	IDA	involved_in	BMP signaling pathway
90	GO:0032924	IDA	involved_in	activin receptor signaling pathway
90	GO:0032924	IMP	involved_in	activin receptor signaling pathway
90	GO:0032926	IMP	involved_in	negative regulation of activin receptor signaling pathway
90	GO:0045669	IMP	involved_in	positive regulation of osteoblast differentiation
90	GO:0045893	IDA	involved_in	positive regulation of transcription, DNA-templated
90	GO:0045944	IDA	involved_in	positive regulation of transcription by RNA polymerase II
90	GO:0045944	IMP	involved_in	positive regulation of transcription by RNA polymerase II
90	GO:0050731	IMP	involved_in	positive regulation of peptidyl-tyrosine phosphorylation
90	GO:0060389	IDA	involved_in	pathway-restricted SMAD protein phosphorylation
90	GO:0060923	IMP	involved_in	cardiac muscle cell fate commitment
90	GO:0061445	IMP	involved_in	endocardial cushion cell fate commitment
90	GO:0071773	IMP	involved_in	cellular response to BMP stimulus
90	GO:2000017	IDA	involved_in	positive regulation of determination of dorsal identity
90	GO:2000134	IMP	involved_in	negative regulation of G1/S transition of mitotic cell cycle
90	GO:2001237	IMP	involved_in	negative regulation of extrinsic apoptotic signaling pathway
91	GO:0000082	IDA	involved_in	G1/S transition of mitotic cell cycle
91	GO:0006355	IDA	involved_in	regulation of transcription, DNA-templated
91	GO:0006468	IDA	involved_in	protein phosphorylation
91	GO:0007165	IDA	involved_in	signal transduction
91	GO:0018107	IDA	involved_in	peptidyl-threonine phosphorylation
91	GO:0030308	IDA	involved_in	negative regulation of cell growth
91	GO:0032924	IDA	involved_in	activin receptor signaling pathway
91	GO:0032924	IMP	involved_in	activin receptor signaling pathway
91	GO:0032927	IDA	involved_in	positive regulation of activin receptor signaling pathway
91	GO:0038092	IGI	involved_in	nodal signaling pathway
91	GO:0045648	IDA	involved_in	positive regulation of erythrocyte differentiation
91	GO:0046777	IDA	involved_in	protein autophosphorylation
91	GO:0097191	IMP	involved_in	extrinsic apoptotic signaling pathway
91	GO:1901165	IDA	involved_in	positive regulation of trophoblast cell migration
92	GO:0001934	IMP	acts_upstream_of_or_within	positive regulation of protein phosphorylation
92	GO:0010862	IMP	involved_in	positive regulation of pathway-restricted SMAD protein phosphorylation
92	GO:0030501	IMP	involved_in	positive regulation of bone mineralization
92	GO:0030509	IDA	involved_in	BMP signaling pathway
92	GO:0030509	IMP	acts_upstream_of_or_within	BMP signaling pathway
92	GO:0030509	IMP	involved_in	BMP signaling pathway
92	GO:0032924	IMP	involved_in	activin receptor signaling pathway
92	GO:0032927	IDA	involved_in	positive regulation of activin receptor signaling pathway
92	GO:0045648	IDA	involved_in	positive regulation of erythrocyte differentiation
92	GO:0045669	IMP	involved_in	positive regulation of osteoblast differentiation
92	GO:0045944	IMP	involved_in	positive regulation of transcription by RNA polymerase II
92	GO:0071773	IMP	involved_in	cellular response to BMP stimulus
93	GO:0000122	IGI	involved_in	negative regulation of transcription by RNA polymerase II
93	GO:0006355	IDA	involved_in	regulation of transcription, DNA-templated
93	GO:0007165	IDA	involved_in	signal transduction
93	GO:0009952	IMP	involved_in	anterior/posterior pattern specification
93	GO:0030501	IMP	involved_in	positive regulation of bone mineralization
93	GO:0030509	IDA	involved_in	BMP signaling pathway
93	GO:0030509	IMP	involved_in	BMP signaling pathway
93	GO:0032924	IMP	involved_in	activin receptor signaling pathway
93	GO:0032927	IDA	involved_in	positive regulation of activin receptor signaling pathway
93	GO:0045669	IMP	involved_in	positive regulation of osteoblast differentiation
94	GO:0001525	IMP	involved_in	angiogenesis
94	GO:0006355	IMP	involved_in	regulation of transcription, DNA-templated
94	GO:0006468	IDA	involved_in	protein phosphorylation
94	GO:0007162	IMP	involved_in	negative regulation of cell adhesion
94	GO:0007165	IDA	involved_in	signal transduction
94	GO:0007179	IDA	involved_in	transforming growth factor beta receptor signaling pathway
94	GO:0008015	IMP	involved_in	blood circulation
94	GO:0008217	IMP	involved_in	regulation of blood pressure
94	GO:0008285	IMP	involved_in	negative regulation of cell population proliferation
94	GO:0010596	IDA	involved_in	negative regulation of endothelial cell migration
94	GO:0010862	IMP	involved_in	positive regulation of pathway-restricted SMAD protein phosphorylation
94	GO:0030308	IDA	involved_in	negative regulation of cell growth
94	GO:0030336	IMP	involved_in	negative regulation of cell migration
94	GO:0030509	IMP	involved_in	BMP signaling pathway
94	GO:0030513	IDA	involved_in	positive regulation of BMP signaling pathway
94	GO:0035313	IMP	involved_in	wound healing, spreading of epidermal cells
94	GO:0043537	IMP	involved_in	negative regulation of blood vessel endothelial cell migration
94	GO:0045893	IDA	involved_in	positive regulation of transcription, DNA-templated
94	GO:0045944	IDA	involved_in	positive regulation of transcription by RNA polymerase II
94	GO:0051895	IMP	involved_in	negative regulation of focal adhesion assembly
94	GO:0060836	IMP	involved_in	lymphatic endothelial cell differentiation
94	GO:0061154	IMP	involved_in	endothelial tube morphogenesis
94	GO:0071560	IDA	involved_in	cellular response to transforming growth factor beta stimulus
94	GO:0071773	IMP	involved_in	cellular response to BMP stimulus
94	GO:2000279	IMP	involved_in	negative regulation of DNA biosynthetic process
100	GO:0001666	IDA	involved_in	response to hypoxia
100	GO:0006154	IDA	acts_upstream_of_or_within	adenosine catabolic process
100	GO:0006154	IDA	involved_in	adenosine catabolic process
100	GO:0010035	IDA	involved_in	response to inorganic substance
100	GO:0014074	IDA	involved_in	response to purine-containing compound
100	GO:0032261	IMP	involved_in	purine nucleotide salvage
100	GO:0033632	IDA	involved_in	regulation of cell-cell adhesion mediated by integrin
100	GO:0042110	IDA	involved_in	T cell activation
100	GO:0046085	IDA	involved_in	adenosine metabolic process
100	GO:0046103	IDA	acts_upstream_of_or_within	inosine biosynthetic process
100	GO:0060169	IDA	involved_in	negative regulation of adenosine receptor signaling pathway
100	GO:0110148	IDA	involved_in	biomineralization
101	GO:0006954	IDA	involved_in	inflammatory response
101	GO:0022407	IDA	involved_in	regulation of cell-cell adhesion
101	GO:0051044	IDA	involved_in	positive regulation of membrane protein ectodomain proteolysis
101	GO:0071456	IDA	involved_in	cellular response to hypoxia
101	GO:2000391	IDA	involved_in	positive regulation of neutrophil extravasation
102	GO:0006509	IDA	acts_upstream_of_or_within	membrane protein ectodomain proteolysis
102	GO:0006509	IDA	involved_in	membrane protein ectodomain proteolysis
102	GO:0006509	IMP	involved_in	membrane protein ectodomain proteolysis
102	GO:0007162	IDA	involved_in	negative regulation of cell adhesion
102	GO:0008284	IMP	involved_in	positive regulation of cell population proliferation
102	GO:0010629	IMP	acts_upstream_of_or_within	negative regulation of gene expression
102	GO:0010820	IMP	involved_in	positive regulation of T cell chemotaxis
102	GO:0030307	IMP	involved_in	positive regulation of cell growth
102	GO:0030335	IMP	involved_in	positive regulation of cell migration
102	GO:0034612	IDA	involved_in	response to tumor necrosis factor
102	GO:0042117	IMP	involved_in	monocyte activation
102	GO:0042987	IMP	involved_in	amyloid precursor protein catabolic process
102	GO:0046931	IMP	involved_in	pore complex assembly
102	GO:0051089	IDA	involved_in	constitutive protein ectodomain proteolysis
102	GO:1901998	IMP	involved_in	toxin transport
103	GO:0006382	IDA	involved_in	adenosine to inosine editing
103	GO:0006382	IMP	involved_in	adenosine to inosine editing
103	GO:0009615	IMP	involved_in	response to virus
103	GO:0016553	IDA	acts_upstream_of_or_within	base conversion or substitution editing
103	GO:0031054	IDA	acts_upstream_of_or_within	pre-miRNA processing
103	GO:0035455	IDA	involved_in	response to interferon-alpha
103	GO:0044387	IDA	involved_in	negative regulation of protein kinase activity by regulation of protein phosphorylation
103	GO:0044387	IMP	involved_in	negative regulation of protein kinase activity by regulation of protein phosphorylation
103	GO:0045070	IDA	involved_in	positive regulation of viral genome replication
103	GO:0045070	IMP	involved_in	positive regulation of viral genome replication
103	GO:0070922	IDA	acts_upstream_of_or_within	RISC complex assembly
104	GO:0006382	IDA	involved_in	adenosine to inosine editing
104	GO:0006396	IDA	involved_in	RNA processing
104	GO:0008285	IDA	involved_in	negative regulation of cell population proliferation
104	GO:0016553	IDA	involved_in	base conversion or substitution editing
104	GO:0030336	IDA	involved_in	negative regulation of cell migration
104	GO:0044387	IDA	involved_in	negative regulation of protein kinase activity by regulation of protein phosphorylation
104	GO:0045070	IMP	involved_in	positive regulation of viral genome replication
104	GO:0051726	IDA	involved_in	regulation of cell cycle
111	GO:0006171	IDA	involved_in	cAMP biosynthetic process
111	GO:0006171	IMP	involved_in	cAMP biosynthetic process
111	GO:0007189	IMP	involved_in	adenylate cyclase-activating G protein-coupled receptor signaling pathway
111	GO:0007204	IMP	involved_in	positive regulation of cytosolic calcium ion concentration
111	GO:0061178	IMP	involved_in	regulation of insulin secretion involved in cellular response to glucose stimulus
111	GO:1904322	IDA	involved_in	cellular response to forskolin
112	GO:0006171	IDA	involved_in	cAMP biosynthetic process
112	GO:0007189	IDA	involved_in	adenylate cyclase-activating G protein-coupled receptor signaling pathway
112	GO:0007212	IDA	involved_in	dopamine receptor signaling pathway
112	GO:0071380	IDA	involved_in	cellular response to prostaglandin E stimulus
112	GO:0071870	IDA	involved_in	cellular response to catecholamine stimulus
112	GO:0097746	IMP	involved_in	blood vessel diameter maintenance
112	GO:1904322	IDA	involved_in	cellular response to forskolin
113	GO:0006171	IDA	involved_in	cAMP biosynthetic process
113	GO:0071361	IDA	involved_in	cellular response to ethanol
115	GO:0006171	IDA	involved_in	cAMP biosynthetic process
115	GO:0007189	IDA	involved_in	adenylate cyclase-activating G protein-coupled receptor signaling pathway
115	GO:0071880	IMP	involved_in	adenylate cyclase-activating adrenergic receptor signaling pathway
116	GO:0007189	IDA	involved_in	adenylate cyclase-activating G protein-coupled receptor signaling pathway
116	GO:0007218	IDA	involved_in	neuropeptide signaling pathway
116	GO:0008277	IDA	involved_in	regulation of G protein-coupled receptor signaling pathway
116	GO:0019933	IMP	involved_in	cAMP-mediated signaling
116	GO:0031175	IDA	involved_in	neuron projection development
116	GO:0032880	IDA	involved_in	regulation of protein localization
116	GO:0043547	IDA	involved_in	positive regulation of GTPase activity
116	GO:0045860	IDA	involved_in	positive regulation of protein kinase activity
116	GO:0045944	IDA	involved_in	positive regulation of transcription by RNA polymerase II
116	GO:0070374	IDA	involved_in	positive regulation of ERK1 and ERK2 cascade
116	GO:0071651	IDA	involved_in	positive regulation of chemokine (C-C motif) ligand 5 production
118	GO:0032092	IDA	involved_in	positive regulation of protein binding
118	GO:0051016	IDA	involved_in	barbed-end actin filament capping
118	GO:0051017	IDA	involved_in	actin filament bundle assembly
118	GO:0071277	IDA	involved_in	cellular response to calcium ion
118	GO:1903142	IDA	involved_in	positive regulation of establishment of endothelial barrier
118	GO:1903393	IDA	involved_in	positive regulation of adherens junction organization
119	GO:0032092	IDA	involved_in	positive regulation of protein binding
119	GO:0050900	IMP	involved_in	leukocyte migration
119	GO:0050901	IMP	involved_in	leukocyte tethering or rolling
119	GO:0051016	IDA	involved_in	barbed-end actin filament capping
119	GO:0051017	IDA	involved_in	actin filament bundle assembly
